fund_code,invested_x,returned_x,return_x,invested_y,returned_y,return_y
006926,700.0,685.782582028523,-0.4987198218871741,400.0,895.7,-0.17211670823564296
150354,2300.0,2022.6902706925302,-0.4209715608091359,2500.0,3310.133477456737,-0.2649941717095149
512480,1000.0,978.9778390905401,-0.27237866463397326,800.0,1394.443530054721,-0.09892786510065883
006594,2000.0,1897.390306980397,-0.24404381496057295,1800.0,2714.937007388447,0.05460623594063206
006593,2000.0,1898.3997562903467,-0.24188525877389788,1800.0,2715.735562760639,0.05758516137737441
001649,8500.0,6835.050652789076,-0.2418598612940855,11100.0,11504.90304643864,-0.2536907412311047
001612,13500.0,9661.86459561483,-0.24059341363151962,19000.0,16808.828561060534,
001611,13500.0,9690.100017282197,-0.23864752409798798,19000.0,16840.37526886847,
513880,500.0,495.32838620434893,-0.23862220019625158,900.0,892.3667724086977,-0.24888478390970822
006682,1600.0,1539.828334085706,-0.23428618844393154,1600.0,2201.0539520395046,0.006221100704499487
001591,13300.0,9863.149048773626,-0.2195955220733072,18100.0,16535.58898516889,-0.20938567231378638
001590,13300.0,9894.72393035892,-0.21740448706545437,17900.0,16535.900243384116,-0.2054696182986541
161833,2300.0,2173.329439841821,-0.2121638729319693,2100.0,3140.626167034025,-0.09983568480118353
006784,2000.0,1922.1500954001383,-0.19187096934179593,2500.0,3086.404090234836,-0.03547000912971941
006783,2000.0,1923.596151376143,-0.18858084564191346,2400.0,2990.140024100359,-0.026121288203555693
159964,1700.0,1643.6430957188263,-0.1870178155272026,1700.0,2319.809064181625,0.11243412203085834
002386,9000.0,7450.017697437838,-0.1842059278394814,10800.0,11731.737466885701,-0.17040253537172675
150151,18400.0,13167.872544311325,-0.18223249957141965,20600.0,23882.565933798447,-0.09117018860571122
150124,18400.0,13182.107344099726,-0.18166603290743755,20000.0,26375.404659234024,-0.01811638803819348
164908,18400.0,13183.290125586696,-0.18161898605270604,24400.0,23734.376150221244,-0.14794225022910562
159942,14900.0,11402.432820409322,-0.17865062329874573,21000.0,19281.741044338272,-0.16747329691037535
001600,13200.0,10401.533174035156,-0.17864503981420107,18700.0,17381.752420669894,-0.15727445845811594
502018,12100.0,9747.638614087953,-0.1763839630809927,15000.0,16291.600532394457,-0.10864006863009902
001599,13200.0,10437.104648982313,-0.17622266711434112,18500.0,17382.445588272523,-0.1538500040261282
501031,13200.0,10454.039986761778,-0.1740957260344636,15200.0,18447.121673087186,-0.08978100051692241
501030,13200.0,10462.652417982246,-0.1735137268489978,15200.0,18457.714651830625,-0.0888744911003717
540008,18400.0,13403.80098173436,-0.17290443975873265,13300.0,21952.41987315345,-0.12135540193030525
007089,1700.0,1648.021280412456,-0.1688339399139834,1900.0,2409.2599257840616,0.03884316107703156
150318,18400.0,13520.848974736216,-0.168323776562182,20400.0,24419.967300424705,-0.07464980431153956
161036,12200.0,9955.769259654106,-0.16562115275071151,14600.0,17053.998266801795,-0.10821815837111744
164823,3400.0,3214.797696614421,-0.1645461687672737,4100.0,4964.108076985248,-0.14471936176298114
150060,18400.0,13628.980222591937,-0.16411928603171827,19300.0,22840.660137415038,-0.10999948631406649
510890,900.0,891.0207325649304,-0.16307564867854932,300.0,1001.9293917657462,0.04478219546980267
512400,10100.0,8537.915032811297,-0.16281189051066927,11700.0,14683.29039495653,-0.058945121070074664
512980,8100.0,7093.41874062028,-0.162742010701321,9500.0,11813.272777932112,-0.05569078054996507
150252,18400.0,13668.44016411635,-0.16259139078078536,22400.0,24910.465000709504,-0.0955387240341339
150086,7100.0,6323.825884362084,-0.15990704772297684,8400.0,8964.689067122908,-0.11992742905368912
163117,13700.0,11011.100401847005,-0.15838757337802192,18500.0,18436.15380517784,-0.1102136541717086
512750,700.0,693.5941386738828,-0.15491788074385326,600.0,1009.093495155329,0.1525320899127205
512910,700.0,694.6609687686429,-0.15185725351787485,800.0,898.2885683434578,-0.03931845523985423
590007,18400.0,14065.123802496788,-0.14741839865711084,17800.0,23976.426929861584,-0.06886185099466786
150216,18400.0,14070.80201932349,-0.14720362738984208,23300.0,24757.62486817388,-0.07908198227283854
162010,13700.0,11244.524859562553,-0.1453231753300531,12100.0,15268.178853537029,-0.12663531919051554
510420,14800.0,11969.958922487496,-0.1448888770742414,13700.0,16978.690939201057,-0.1021573823524791
006868,1900.0,1852.5573800104582,-0.14242956420320074,2000.0,2805.0073619648792,0.024005197814604754
163110,18400.0,14245.185647276867,-0.1406402136012736,10200.0,20315.825854886396,-0.029823593474225054
160221,18400.0,14303.838747833785,-0.1384466126414019,22600.0,24547.912776731097,-0.10241629853134397
004344,12400.0,10444.598520841015,-0.1375056555283077,15100.0,17355.820349768306,-0.09560512647964524
159949,15800.0,12727.397960734128,-0.1373112186633207,18600.0,22245.46818564951,-0.08342554873639207
001713,18000.0,14028.292239622846,-0.1366545377864527,22400.0,23719.05246393231,-0.12328106771363266
165525,18400.0,14378.074674443431,-0.13568017506334568,20900.0,24288.445854940077,-0.09745934715174795
160634,18400.0,14391.329194207026,-0.13518740199074658,22800.0,24384.87812266779,-0.10388666450604891
000893,18400.0,14466.517465784722,-0.1323986960072942,28700.0,25647.863248946345,-0.11999706858012057
159918,18400.0,14477.10640910512,-0.13200685692992417,16800.0,22744.57707258845,-0.08572827269177148
000471,18400.0,14583.546502122863,-0.12808034809458493,22700.0,25097.58533270561,-0.07286549119752321
164821,18400.0,14593.355368201845,-0.12771962142656754,20400.0,24366.05485110704,-0.08842710937951116
001561,13100.0,11096.179885731242,-0.1274474596987296,18100.0,17931.41642038143,-0.12331749007374238
