,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12053517,000780,2019-07-15,1.214,1.214,1.0,1.0,1.214
1,12041346,000780,2019-07-12,1.214,1.214,1.0,1.0,1.214
2,12032687,000780,2019-07-11,1.213,1.213,1.0,1.0,1.213
3,12022792,000780,2019-07-10,1.217,1.217,1.0,1.0,1.217
4,12002930,000780,2019-07-09,1.215,1.215,1.0,1.0,1.215
5,12002929,000780,2019-07-08,1.211,1.211,1.0,1.0,1.211
6,11992028,000780,2019-07-05,1.233,1.233,1.0,1.0,1.233
7,11969127,000780,2019-07-04,1.209,1.209,1.0,1.0,1.209
8,11969126,000780,2019-07-03,1.234,1.234,1.0,1.0,1.234
9,11982783,000780,2019-07-02,1.263,1.263,1.0,1.0,1.263
10,11953386,000780,2019-07-01,1.247,1.247,1.0,1.0,1.247
11,11940588,000780,2019-06-30,1.217,1.217,1.0,1.0,1.217
12,11940587,000780,2019-06-28,1.217,1.217,1.0,1.0,1.217
13,11923773,000780,2019-06-27,1.223,1.223,1.0,1.0,1.223
14,11923772,000780,2019-06-26,1.209,1.209,1.0,1.0,1.209
15,11913241,000780,2019-06-25,1.185,1.185,1.0,1.0,1.185
16,11905489,000780,2019-06-24,1.188,1.188,1.0,1.0,1.188
17,11894437,000780,2019-06-21,1.181,1.181,1.0,1.0,1.181
18,11886126,000780,2019-06-20,1.182,1.182,1.0,1.0,1.182
19,11878256,000780,2019-06-19,1.155,1.155,1.0,1.0,1.155
20,11869552,000780,2019-06-18,1.143,1.143,1.0,1.0,1.143
21,11861348,000780,2019-06-17,1.132,1.132,1.0,1.0,1.132
22,11852271,000780,2019-06-14,1.135,1.135,1.0,1.0,1.135
23,11842982,000780,2019-06-13,1.14,1.14,1.0,1.0,1.14
24,11834755,000780,2019-06-12,1.136,1.136,1.0,1.0,1.136
25,11824324,000780,2019-06-11,1.14,1.14,1.0,1.0,1.14
26,11818487,000780,2019-06-10,1.11,1.11,1.0,1.0,1.11
27,11808026,000780,2019-06-06,1.094,1.094,1.0,1.0,1.094
28,11800579,000780,2019-06-05,1.107,1.107,1.0,1.0,1.107
29,11791529,000780,2019-06-04,1.127,1.127,1.0,1.0,1.127
30,11784079,000780,2019-06-03,1.149,1.149,1.0,1.0,1.149
31,11772991,000780,2019-05-31,1.152,1.152,1.0,1.0,1.152
32,11766412,000780,2019-05-30,1.141,1.141,1.0,1.0,1.141
33,11757164,000780,2019-05-29,1.137,1.137,1.0,1.0,1.137
34,11751133,000780,2019-05-28,1.141,1.141,1.0,1.0,1.141
35,11741547,000780,2019-05-27,1.121,1.121,1.0,1.0,1.121
36,11731327,000780,2019-05-24,1.109,1.109,1.0,1.0,1.109
37,11723523,000780,2019-05-23,1.114,1.114,1.0,1.0,1.114
38,11715853,000780,2019-05-22,1.134,1.134,1.0,1.0,1.134
39,11708556,000780,2019-05-21,1.135,1.135,1.0,1.0,1.135
40,11700971,000780,2019-05-20,1.117,1.117,1.0,1.0,1.117
41,11690134,000780,2019-05-17,1.135,1.135,1.0,1.0,1.135
42,11683816,000780,2019-05-16,1.159,1.159,1.0,1.0,1.159
43,11676001,000780,2019-05-15,1.155,1.155,1.0,1.0,1.155
44,11668362,000780,2019-05-14,1.132,1.132,1.0,1.0,1.132
45,11659226,000780,2019-05-13,1.141,1.141,1.0,1.0,1.141
46,11649753,000780,2019-05-10,1.139,1.139,1.0,1.0,1.139
47,11643995,000780,2019-05-09,1.1,1.1,1.0,1.0,1.1
48,11630158,000780,2019-05-08,1.128,1.128,1.0,1.0,1.128
49,11624806,000780,2019-05-07,1.14,1.14,1.0,1.0,1.14
50,11618434,000780,2019-05-06,1.115,1.115,1.0,1.0,1.115
51,11603542,000780,2019-04-30,1.174,1.174,1.0,1.0,1.174
52,11597161,000780,2019-04-29,1.18,1.18,1.0,1.0,1.18
53,11586209,000780,2019-04-26,1.164,1.164,1.0,1.0,1.164
54,11583070,000780,2019-04-25,1.167,1.167,1.0,1.0,1.167
55,11575493,000780,2019-04-24,1.173,1.173,1.0,1.0,1.173
56,11562709,000780,2019-04-23,1.17,1.17,1.0,1.0,1.17
57,11557061,000780,2019-04-22,1.172,1.172,1.0,1.0,1.172
58,11547965,000780,2019-04-19,1.179,1.179,1.0,1.0,1.179
59,11540187,000780,2019-04-18,1.176,1.176,1.0,1.0,1.176
60,11532501,000780,2019-04-17,1.175,1.175,1.0,1.0,1.175
61,11524980,000780,2019-04-16,1.169,1.169,1.0,1.0,1.169
62,11520485,000780,2019-04-15,1.156,1.156,1.0,1.0,1.156
63,11506107,000780,2019-04-12,1.171,1.171,1.0,1.0,1.171
64,11498987,000780,2019-04-11,1.18,1.18,1.0,1.0,1.18
65,11489408,000780,2019-04-10,1.217,1.217,1.0,1.0,1.217
66,11480513,000780,2019-04-09,1.204,1.204,1.0,1.0,1.204
67,11472761,000780,2019-04-08,1.193,1.193,1.0,1.0,1.193
68,11460363,000780,2019-04-04,1.208,1.208,1.0,1.0,1.208
69,11450576,000780,2019-04-03,1.208,1.208,1.0,1.0,1.208
70,11443721,000780,2019-04-02,1.214,1.214,1.0,1.0,1.214
71,11434913,000780,2019-04-01,1.22,1.22,1.0,1.0,1.22
