,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,2675987,150357,2016-06-30,1.0358,1.0358,1.0,1.0,1.0358
1,2675986,150357,2016-06-29,1.0357,1.0357,1.0,1.0,1.0357
2,2675985,150357,2016-06-28,1.0355,1.0355,1.0,1.0,1.0355
3,2675984,150357,2016-06-27,1.0354,1.0354,1.0,1.0,1.0354
4,2675983,150357,2016-06-24,1.035,1.035,1.0,1.0,1.035
5,2675982,150357,2016-06-23,1.0349,1.0349,1.0,1.0,1.0349
6,2675981,150357,2016-06-22,1.0347,1.0347,1.0,1.0,1.0347
7,2675980,150357,2016-06-21,1.0346,1.0346,1.0,1.0,1.0346
8,2675979,150357,2016-06-20,1.0345,1.0345,1.0,1.0,1.0345
9,2675978,150357,2016-06-17,1.0341,1.0341,1.0,1.0,1.0341
10,2675977,150357,2016-06-16,1.034,1.034,1.0,1.0,1.034
11,2675976,150357,2016-06-15,1.0338,1.0338,1.0,1.0,1.0338
12,2675975,150357,2016-06-14,1.0337,1.0337,1.0,1.0,1.0337
13,2675974,150357,2016-06-13,1.0336,1.0336,1.0,1.0,1.0336
14,2675973,150357,2016-06-08,1.0329,1.0329,1.0,1.0,1.0329
15,2675972,150357,2016-06-07,1.0328,1.0328,1.0,1.0,1.0328
16,2675971,150357,2016-06-06,1.0327,1.0327,1.0,1.0,1.0327
17,2675970,150357,2016-06-03,1.0323,1.0323,1.0,1.0,1.0323
18,2675969,150357,2016-06-02,1.0321,1.0321,1.0,1.0,1.0321
19,2675968,150357,2016-06-01,1.032,1.032,1.0,1.0,1.032
20,2675967,150357,2016-05-31,1.0319,1.0319,1.0,1.0,1.0319
21,2675966,150357,2016-05-30,1.0318,1.0318,1.0,1.0,1.0318
22,2675965,150357,2016-05-27,1.0314,1.0314,1.0,1.0,1.0314
23,2675964,150357,2016-05-26,1.0312,1.0312,1.0,1.0,1.0312
24,2675963,150357,2016-05-25,1.0311,1.0311,1.0,1.0,1.0311
25,2675962,150357,2016-05-24,1.031,1.031,1.0,1.0,1.031
26,2675961,150357,2016-05-23,1.0308,1.0308,1.0,1.0,1.0308
27,2675960,150357,2016-05-20,1.0305,1.0305,1.0,1.0,1.0305
28,2675959,150357,2016-05-19,1.0303,1.0303,1.0,1.0,1.0303
29,2675958,150357,2016-05-18,1.0302,1.0302,1.0,1.0,1.0302
30,2675957,150357,2016-05-17,1.0301,1.0301,1.0,1.0,1.0301
31,2675956,150357,2016-05-16,1.0299,1.0299,1.0,1.0,1.0299
32,2675955,150357,2016-05-13,1.0295,1.0295,1.0,1.0,1.0295
33,2675954,150357,2016-05-12,1.0294,1.0294,1.0,1.0,1.0294
34,2675953,150357,2016-05-11,1.0293,1.0293,1.0,1.0,1.0293
35,2675952,150357,2016-05-10,1.0292,1.0292,1.0,1.0,1.0292
36,2675951,150357,2016-05-09,1.029,1.029,1.0,1.0,1.029
37,2675950,150357,2016-05-06,1.0286,1.0286,1.0,1.0,1.0286
38,2675949,150357,2016-05-05,1.0285,1.0285,1.0,1.0,1.0285
39,2675948,150357,2016-05-04,1.0284,1.0284,1.0,1.0,1.0284
40,2675947,150357,2016-05-03,1.0282,1.0282,1.0,1.0,1.0282
41,2675946,150357,2016-04-29,1.0277,1.0277,1.0,1.0,1.0277
42,2675945,150357,2016-04-28,1.0276,1.0276,1.0,1.0,1.0276
43,2675944,150357,2016-04-27,1.0275,1.0275,1.0,1.0,1.0275
44,2675943,150357,2016-04-26,1.0273,1.0273,1.0,1.0,1.0273
45,2675942,150357,2016-04-25,1.0272,1.0272,1.0,1.0,1.0272
46,2675941,150357,2016-04-22,1.0268,1.0268,1.0,1.0,1.0268
47,2675940,150357,2016-04-21,1.0267,1.0267,1.0,1.0,1.0267
48,2675939,150357,2016-04-20,1.0265,1.0265,1.0,1.0,1.0265
49,2675938,150357,2016-04-19,1.0264,1.0264,1.0,1.0,1.0264
50,2675937,150357,2016-04-18,1.0263,1.0263,1.0,1.0,1.0263
51,2675936,150357,2016-04-15,1.0259,1.0259,1.0,1.0,1.0259
52,2675935,150357,2016-04-14,1.0258,1.0258,1.0,1.0,1.0258
53,2675934,150357,2016-04-13,1.0256,1.0256,1.0,1.0,1.0256
54,2675933,150357,2016-04-12,1.0255,1.0255,1.0,1.0,1.0255
55,2675932,150357,2016-04-11,1.0254,1.0254,1.0,1.0,1.0254
56,2675931,150357,2016-04-08,1.025,1.025,1.0,1.0,1.025
57,2675930,150357,2016-04-07,1.0249,1.0249,1.0,1.0,1.0249
58,2675929,150357,2016-04-06,1.0247,1.0247,1.0,1.0,1.0247
59,2675928,150357,2016-04-05,1.0246,1.0246,1.0,1.0,1.0246
60,2675927,150357,2016-04-01,1.0241,1.0241,1.0,1.0,1.0241
61,2675926,150357,2016-03-31,1.0239,1.0239,1.0,1.0,1.0239
62,2675925,150357,2016-03-30,1.0238,1.0238,1.0,1.0,1.0238
63,2675924,150357,2016-03-29,1.0237,1.0237,1.0,1.0,1.0237
