,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12058299,501006,2019-07-15,0.8624,0.8624,1.0,1.0,0.8624
1,12046692,501006,2019-07-12,0.8516,0.8516,1.0,1.0,0.8516
2,12038744,501006,2019-07-11,0.8494,0.8494,1.0,1.0,0.8494
3,12027229,501006,2019-07-10,0.8484,0.8484,1.0,1.0,0.8484
4,12011028,501006,2019-07-09,0.8421,0.8421,1.0,1.0,0.8421
5,12000642,501006,2019-07-08,0.8444,0.8444,1.0,1.0,0.8444
6,11991259,501006,2019-07-05,0.8612,0.8612,1.0,1.0,0.8612
7,11979055,501006,2019-07-04,0.8521,0.8521,1.0,1.0,0.8521
8,11979054,501006,2019-07-03,0.8622,0.8622,1.0,1.0,0.8622
9,11965869,501006,2019-07-02,0.8746,0.8746,1.0,1.0,0.8746
10,11960382,501006,2019-07-01,0.8601,0.8601,1.0,1.0,0.8601
11,11951025,501006,2019-06-30,0.8373,0.8373,1.0,1.0,0.8373
12,11951024,501006,2019-06-28,0.8373,0.8373,1.0,1.0,0.8373
13,11933967,501006,2019-06-27,0.8396,0.8396,1.0,1.0,0.8396
14,11933966,501006,2019-06-26,0.8318,0.8318,1.0,1.0,0.8318
15,11917539,501006,2019-06-25,0.8179,0.8179,1.0,1.0,0.8179
16,11911085,501006,2019-06-24,0.824,0.824,1.0,1.0,0.824
17,11899474,501006,2019-06-21,0.821,0.821,1.0,1.0,0.821
18,11890660,501006,2019-06-20,0.8142,0.8142,1.0,1.0,0.8142
19,11882938,501006,2019-06-19,0.7978,0.7978,1.0,1.0,0.7978
20,11875285,501006,2019-06-18,0.7877,0.7877,1.0,1.0,0.7877
21,11865750,501006,2019-06-17,0.7806,0.7806,1.0,1.0,0.7806
22,11857233,501006,2019-06-14,0.7795,0.7795,1.0,1.0,0.7795
23,11847603,501006,2019-06-13,0.7841,0.7841,1.0,1.0,0.7841
24,11841630,501006,2019-06-12,0.7841,0.7841,1.0,1.0,0.7841
25,11830065,501006,2019-06-11,0.7885,0.7885,1.0,1.0,0.7885
26,11823050,501006,2019-06-10,0.7657,0.7657,1.0,1.0,0.7657
27,11812961,501006,2019-06-06,0.7589,0.7589,1.0,1.0,0.7589
28,11806175,501006,2019-06-05,0.7702,0.7702,1.0,1.0,0.7702
29,11796029,501006,2019-06-04,0.7956,0.7956,1.0,1.0,0.7956
30,11788596,501006,2019-06-03,0.8063,0.8063,1.0,1.0,0.8063
31,11779123,501006,2019-05-31,0.8144,0.8144,1.0,1.0,0.8144
32,11770939,501006,2019-05-30,0.8085,0.8085,1.0,1.0,0.8085
