,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12060866,150149,2019-07-15,0.625,1.655,1.0,1.0,0.625
1,12050899,150149,2019-07-12,0.621,1.651,1.0,1.0,0.621
2,12037613,150149,2019-07-11,0.613,1.643,1.0,1.0,0.613
3,12030254,150149,2019-07-10,0.613,1.643,1.0,1.0,0.613
4,12020545,150149,2019-07-09,0.607,1.637,1.0,1.0,0.607
5,12009392,150149,2019-07-08,0.609,1.639,1.0,1.0,0.609
6,11997262,150149,2019-07-05,0.65,1.68,1.0,1.0,0.65
7,11986006,150149,2019-07-04,0.624,1.654,1.0,1.0,0.624
8,11977132,150149,2019-07-03,0.646,1.676,1.0,1.0,0.646
9,11965034,150149,2019-07-02,0.666,1.696,1.0,1.0,0.666
10,11959014,150149,2019-07-01,0.652,1.682,1.0,1.0,0.652
11,11959013,150149,2019-06-30,0.607,1.637,1.0,1.0,0.607
12,11938057,150149,2019-06-28,0.607,1.637,1.0,1.0,0.607
13,11931922,150149,2019-06-27,0.617,1.647,1.0,1.0,0.617
14,11921261,150149,2019-06-26,0.603,1.633,1.0,1.0,0.603
15,11921260,150149,2019-06-25,0.587,1.617,1.0,1.0,0.587
16,11910034,150149,2019-06-24,0.591,1.621,1.0,1.0,0.591
17,11901675,150149,2019-06-21,0.586,1.616,1.0,1.0,0.586
18,11893283,150149,2019-06-20,0.576,1.606,1.0,1.0,0.576
19,11885434,150149,2019-06-19,0.548,1.578,1.0,1.0,0.548
20,11874184,150149,2019-06-18,0.524,1.554,1.0,1.0,0.524
21,11868558,150149,2019-06-17,0.522,1.552,1.0,1.0,0.522
22,11859211,150149,2019-06-14,0.511,1.541,1.0,1.0,0.511
23,11851000,150149,2019-06-13,0.517,1.547,1.0,1.0,0.517
24,11840359,150149,2019-06-12,0.509,1.539,1.0,1.0,0.509
25,11840358,150149,2019-06-11,0.517,1.547,1.0,1.0,0.517
26,11828932,150149,2019-06-10,0.473,1.503,1.0,1.0,0.473
27,11816368,150149,2019-06-06,0.462,1.492,1.0,1.0,0.462
28,11805083,150149,2019-06-05,0.484,1.514,1.0,1.0,0.484
29,11799509,150149,2019-06-04,0.53,1.56,1.0,1.0,0.53
30,11790817,150149,2019-06-03,0.556,1.586,1.0,1.0,0.556
31,11782055,150149,2019-05-31,0.558,1.588,1.0,1.0,0.558
32,11777973,150149,2019-05-30,0.556,1.586,1.0,1.0,0.556
33,11765598,150149,2019-05-29,0.571,1.601,1.0,1.0,0.571
34,11761678,150149,2019-05-28,0.579,1.609,1.0,1.0,0.579
35,11749188,150149,2019-05-27,0.569,1.599,1.0,1.0,0.569
36,11740438,150149,2019-05-24,0.549,1.579,1.0,1.0,0.549
37,11736184,150149,2019-05-23,0.553,1.583,1.0,1.0,0.553
38,11728070,150149,2019-05-22,0.588,1.618,1.0,1.0,0.588
39,11720326,150149,2019-05-21,0.594,1.624,1.0,1.0,0.594
40,11707202,150149,2019-05-20,0.572,1.602,1.0,1.0,0.572
41,11699160,150149,2019-05-17,0.604,1.634,1.0,1.0,0.604
42,11695006,150149,2019-05-16,0.646,1.676,1.0,1.0,0.646
43,11683021,150149,2019-05-15,0.63,1.66,1.0,1.0,0.63
44,11675218,150149,2019-05-14,0.591,1.621,1.0,1.0,0.591
45,11666655,150149,2019-05-13,0.605,1.635,1.0,1.0,0.605
46,11658138,150149,2019-05-10,0.617,1.647,1.0,1.0,0.617
47,11649033,150149,2019-05-09,0.575,1.605,1.0,1.0,0.575
48,11637102,150149,2019-05-08,0.623,1.653,1.0,1.0,0.623
49,11634665,150149,2019-05-07,0.637,1.667,1.0,1.0,0.637
50,11629304,150149,2019-05-06,0.612,1.642,1.0,1.0,0.612
51,11616845,150149,2019-04-30,0.704,1.734,1.0,1.0,0.704
52,11608438,150149,2019-04-29,0.7,1.73,1.0,1.0,0.7
53,11595799,150149,2019-04-26,0.687,1.717,1.0,1.0,0.687
54,11591027,150149,2019-04-25,0.715,1.745,1.0,1.0,0.715
55,11578504,150149,2019-04-24,0.743,1.773,1.0,1.0,0.743
56,11567971,150149,2019-04-23,0.737,1.767,1.0,1.0,0.737
57,11567970,150149,2019-04-22,0.741,1.771,1.0,1.0,0.741
58,11555538,150149,2019-04-19,0.77,1.8,1.0,1.0,0.77
59,11547080,150149,2019-04-18,0.766,1.796,1.0,1.0,0.766
60,11539472,150149,2019-04-17,0.778,1.808,1.0,1.0,0.778
61,11531759,150149,2019-04-16,0.776,1.806,1.0,1.0,0.776
62,11522526,150149,2019-04-15,0.742,1.772,1.0,1.0,0.742
63,11514748,150149,2019-04-12,0.763,1.793,1.0,1.0,0.763
64,11505234,150149,2019-04-11,0.783,1.813,1.0,1.0,0.783
65,11496802,150149,2019-04-10,0.835,1.865,1.0,1.0,0.835
66,11488637,150149,2019-04-09,0.803,1.833,1.0,1.0,0.803
67,11479765,150149,2019-04-08,0.781,1.811,1.0,1.0,0.781
68,11471485,150149,2019-04-04,0.792,1.822,1.0,1.0,0.792
69,11459536,150149,2019-04-03,0.784,1.814,1.0,1.0,0.784
70,11455300,150149,2019-04-02,0.774,1.804,1.0,1.0,0.774
71,11441958,150149,2019-04-01,0.784,1.814,1.0,1.0,0.784
72,11432952,150149,2019-03-29,0.748,1.778,1.0,1.0,0.748
73,11427919,150149,2019-03-28,0.711,1.741,1.0,1.0,0.711
74,11416136,150149,2019-03-27,0.717,1.747,1.0,1.0,0.717
75,11408678,150149,2019-03-26,0.663,1.693,1.0,1.0,0.663
76,11399847,150149,2019-03-25,0.691,1.721,1.0,1.0,0.691
77,11391217,150149,2019-03-22,0.725,1.755,1.0,1.0,0.725
78,11382799,150149,2019-03-21,0.708,1.738,1.0,1.0,0.708
79,11375192,150149,2019-03-20,0.698,1.728,1.0,1.0,0.698
80,11367591,150149,2019-03-19,0.696,1.726,1.0,1.0,0.696
81,11359141,150149,2019-03-18,0.712,1.742,1.0,1.0,0.712
82,11350691,150149,2019-03-15,0.65,1.68,1.0,1.0,0.65
83,11342084,150149,2019-03-14,0.63,1.66,1.0,1.0,0.63
84,11334446,150149,2019-03-13,0.655,1.685,1.0,1.0,0.655
85,11326942,150149,2019-03-12,0.663,1.693,1.0,1.0,0.663
86,11317447,150149,2019-03-11,0.659,1.689,1.0,1.0,0.659
87,11310286,150149,2019-03-08,0.607,1.637,1.0,1.0,0.607
88,11302033,150149,2019-03-07,0.639,1.669,1.0,1.0,0.639
89,11294339,150149,2019-03-06,0.647,1.677,1.0,1.0,0.647
90,11286847,150149,2019-03-05,0.636,1.666,1.0,1.0,0.636
91,11278462,150149,2019-03-04,0.618,1.648,1.0,1.0,0.618
92,11270100,150149,2019-03-01,0.592,1.622,1.0,1.0,0.592
93,11262669,150149,2019-02-28,0.586,1.616,1.0,1.0,0.586
94,11254844,150149,2019-02-27,0.554,1.584,1.0,1.0,0.554
95,11247725,150149,2019-02-26,0.566,1.596,1.0,1.0,0.566
96,11239194,150149,2019-02-25,0.551,1.581,1.0,1.0,0.551
97,11230984,150149,2019-02-22,0.495,1.525,1.0,1.0,0.495
98,11223202,150149,2019-02-21,0.475,1.505,1.0,1.0,0.475
99,11215969,150149,2019-02-20,0.481,1.511,1.0,1.0,0.481
100,11205448,150149,2019-02-19,0.495,1.525,1.0,1.0,0.495
101,11197781,150149,2019-02-18,0.512,1.542,1.0,1.0,0.512
102,11188653,150149,2019-02-15,0.462,1.492,1.0,1.0,0.462
103,11181053,150149,2019-02-14,0.478,1.508,1.0,1.0,0.478
104,11174253,150149,2019-02-13,0.468,1.498,1.0,1.0,0.468
