,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12057509,160221,2019-07-15,0.7665,0.5713,1.0,0.688198,0.527504
1,12045904,160221,2019-07-12,0.7601,0.5671,1.0,0.688198,0.523099
2,12037863,160221,2019-07-11,0.763,0.569,1.0,0.688198,0.525095
3,12026527,160221,2019-07-10,0.7519,0.5616,1.0,0.688198,0.517456
4,12009756,160221,2019-07-09,0.7652,0.5704,1.0,0.688198,0.526609
5,12000437,160221,2019-07-08,0.7657,0.5708,1.0,0.688198,0.526953
6,11993884,160221,2019-07-05,0.7931,0.5889,1.0,0.688198,0.54581
7,11977544,160221,2019-07-04,0.7902,0.587,1.0,0.688198,0.543814
8,11977543,160221,2019-07-03,0.7995,0.5931,1.0,0.688198,0.550214
9,11965235,160221,2019-07-02,0.8042,0.5962,1.0,0.688198,0.553449
10,11959313,160221,2019-07-01,0.7974,0.5917,1.0,0.688198,0.548769
11,11949696,160221,2019-06-30,0.7936,0.5892,1.0,0.688198,0.546154
12,11949695,160221,2019-06-28,0.7936,0.5892,1.0,0.688198,0.546154
13,11932398,160221,2019-06-27,0.7937,0.5893,1.0,0.688198,0.546223
14,11932397,160221,2019-06-26,0.7905,0.5872,1.0,0.688198,0.544021
15,11916830,160221,2019-06-25,0.8123,0.6016,1.0,0.688198,0.559023
16,11910283,160221,2019-06-24,0.8079,0.5987,1.0,0.688198,0.555995
17,11898721,160221,2019-06-21,0.8004,0.5937,1.0,0.688198,0.550834
18,11889925,160221,2019-06-20,0.7899,0.5868,1.0,0.688198,0.543608
19,11882189,160221,2019-06-19,0.7782,0.579,1.0,0.688198,0.535556
20,11874434,160221,2019-06-18,0.7788,0.5794,1.0,0.688198,0.535969
21,11865020,160221,2019-06-17,0.7829,0.5821,1.0,0.688198,0.53879
22,11856469,160221,2019-06-14,0.7853,0.5837,1.0,0.688198,0.540442
23,11846843,160221,2019-06-13,0.7891,0.5862,1.0,0.688198,0.543057
24,11840665,160221,2019-06-12,0.7914,0.5878,1.0,0.688198,0.54464
25,11829208,160221,2019-06-11,0.7793,0.5798,1.0,0.688198,0.536313
26,11822292,160221,2019-06-10,0.7575,0.5653,1.0,0.688198,0.52131
27,11812206,160221,2019-06-06,0.7522,0.5618,1.0,0.688198,0.517663
28,11805331,160221,2019-06-05,0.7581,0.5657,1.0,0.688198,0.521723
29,11795281,160221,2019-06-04,0.7513,0.5612,1.0,0.688198,0.517043
