,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12056093,005612,2019-07-15,1.0149,1.0149,1.0,1.0,1.0149
1,12044264,005612,2019-07-12,1.0123,1.0123,1.0,1.0,1.0123
2,12035940,005612,2019-07-11,1.0079,1.0079,1.0,1.0,1.0079
3,12025240,005612,2019-07-10,1.0076,1.0076,1.0,1.0,1.0076
4,12019534,005612,2019-07-09,1.0042,1.0042,1.0,1.0,1.0042
5,12007161,005612,2019-07-08,1.0096,1.0096,1.0,1.0,1.0096
6,11993224,005612,2019-07-05,1.0284,1.0284,1.0,1.0,1.0284
7,11974624,005612,2019-07-04,1.0194,1.0194,1.0,1.0,1.0194
8,11974623,005612,2019-07-03,1.0241,1.0241,1.0,1.0,1.0241
9,11963819,005612,2019-07-02,1.0343,1.0343,1.0,1.0,1.0343
10,11957084,005612,2019-07-01,1.0265,1.0265,1.0,1.0,1.0265
11,11946282,005612,2019-06-30,0.9987,0.9987,1.0,1.0,0.9987
12,11946281,005612,2019-06-28,0.9987,0.9987,1.0,1.0,0.9987
13,11929348,005612,2019-06-27,1.0002,1.0002,1.0,1.0,1.0002
14,11929347,005612,2019-06-26,0.9884,0.9884,1.0,1.0,0.9884
15,11915632,005612,2019-06-25,0.9872,0.9872,1.0,1.0,0.9872
16,11908540,005612,2019-06-24,0.9965,0.9965,1.0,1.0,0.9965
17,11897215,005612,2019-06-21,0.9925,0.9925,1.0,1.0,0.9925
18,11888583,005612,2019-06-20,0.9967,0.9967,1.0,1.0,0.9967
19,11880841,005612,2019-06-19,0.9701,0.9701,1.0,1.0,0.9701
20,11872678,005612,2019-06-18,0.9511,0.9511,1.0,1.0,0.9511
21,11863749,005612,2019-06-17,0.9458,0.9458,1.0,1.0,0.9458
22,11855005,005612,2019-06-14,0.9479,0.9479,1.0,1.0,0.9479
23,11845523,005612,2019-06-13,0.952,0.952,1.0,1.0,0.952
24,11838418,005612,2019-06-12,0.9552,0.9552,1.0,1.0,0.9552
25,11827418,005612,2019-06-11,0.9653,0.9653,1.0,1.0,0.9653
26,11821012,005612,2019-06-10,0.9412,0.9412,1.0,1.0,0.9412
27,11810744,005612,2019-06-06,0.9252,0.9252,1.0,1.0,0.9252
28,11803629,005612,2019-06-05,0.9276,0.9276,1.0,1.0,0.9276
29,11794017,005612,2019-06-04,0.9289,0.9289,1.0,1.0,0.9289
30,11786569,005612,2019-06-03,0.9415,0.9415,1.0,1.0,0.9415
31,11776308,005612,2019-05-31,0.94,0.94,1.0,1.0,0.94
32,11768888,005612,2019-05-30,0.9418,0.9418,1.0,1.0,0.9418
33,11760200,005612,2019-05-29,0.9464,0.9464,1.0,1.0,0.9464
34,11753600,005612,2019-05-28,0.9504,0.9504,1.0,1.0,0.9504
