,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12054218,001915,2019-07-15,0.949,0.949,1.0,1.0,0.949
1,12042066,001915,2019-07-12,0.947,0.947,1.0,1.0,0.947
2,12033494,001915,2019-07-11,0.942,0.942,1.0,1.0,0.942
3,12023433,001915,2019-07-10,0.938,0.938,1.0,1.0,0.938
4,12004022,001915,2019-07-09,0.936,0.936,1.0,1.0,0.936
5,12004021,001915,2019-07-08,0.931,0.931,1.0,1.0,0.931
6,11988064,001915,2019-07-05,0.954,0.954,1.0,1.0,0.954
7,11970487,001915,2019-07-04,0.939,0.939,1.0,1.0,0.939
8,11970486,001915,2019-07-03,0.951,0.951,1.0,1.0,0.951
9,11962179,001915,2019-07-02,0.965,0.965,1.0,1.0,0.965
10,11954273,001915,2019-07-01,0.951,0.951,1.0,1.0,0.951
11,11941983,001915,2019-06-30,0.931,0.931,1.0,1.0,0.931
12,11937559,001915,2019-06-28,0.931,0.931,1.0,1.0,0.931
13,11925193,001915,2019-06-27,0.934,0.934,1.0,1.0,0.934
14,11925192,001915,2019-06-26,0.922,0.922,1.0,1.0,0.922
15,11913869,001915,2019-06-25,0.902,0.902,1.0,1.0,0.902
16,11903842,001915,2019-06-24,0.908,0.908,1.0,1.0,0.908
17,11895114,001915,2019-06-21,0.9,0.9,1.0,1.0,0.9
18,11886770,001915,2019-06-20,0.89,0.89,1.0,1.0,0.89
19,11878926,001915,2019-06-19,0.87,0.87,1.0,1.0,0.87
20,11870337,001915,2019-06-18,0.858,0.858,1.0,1.0,0.858
21,11862003,001915,2019-06-17,0.852,0.852,1.0,1.0,0.852
22,11852949,001915,2019-06-14,0.855,0.855,1.0,1.0,0.855
23,11843652,001915,2019-06-13,0.855,0.855,1.0,1.0,0.855
24,11835637,001915,2019-06-12,0.85,0.85,1.0,1.0,0.85
25,11825100,001915,2019-06-11,0.855,0.855,1.0,1.0,0.855
26,11819167,001915,2019-06-10,0.831,0.831,1.0,1.0,0.831
27,11808705,001915,2019-06-06,0.824,0.824,1.0,1.0,0.824
28,11801346,001915,2019-06-05,0.838,0.838,1.0,1.0,0.838
29,11792194,001915,2019-06-04,0.856,0.856,1.0,1.0,0.856
30,11784744,001915,2019-06-03,0.869,0.869,1.0,1.0,0.869
31,11773779,001915,2019-05-31,0.878,0.878,1.0,1.0,0.878
32,11767078,001915,2019-05-30,0.875,0.875,1.0,1.0,0.875
33,11757925,001915,2019-05-29,0.877,0.877,1.0,1.0,0.877
34,11751797,001915,2019-05-28,0.884,0.884,1.0,1.0,0.884
35,11742222,001915,2019-05-27,0.878,0.878,1.0,1.0,0.878
