,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12057314,150212,2019-07-15,0.845,0.162,1.0,0.036558,0.030892
1,12045719,150212,2019-07-12,0.842,0.161,1.0,0.036558,0.030782
2,12037665,150212,2019-07-11,0.824,0.158,1.0,0.036558,0.030124
3,12030281,150212,2019-07-10,0.816,0.156,1.0,0.036558,0.029831
4,12009475,150212,2019-07-09,0.83,0.159,1.0,0.036558,0.030343
5,12009474,150212,2019-07-08,0.796,0.152,1.0,0.036558,0.0291
6,11993799,150212,2019-07-05,0.842,0.161,1.0,0.036558,0.030782
7,11977216,150212,2019-07-04,0.835,0.16,1.0,0.036558,0.030526
8,11977215,150212,2019-07-03,0.849,0.162,1.0,0.036558,0.031038
9,11965085,150212,2019-07-02,0.843,0.161,1.0,0.036558,0.030818
10,11959076,150212,2019-07-01,0.817,0.156,1.0,0.036558,0.029868
11,11949373,150212,2019-06-30,0.751,0.144,1.0,0.036558,0.027455
12,11949372,150212,2019-06-28,0.751,0.144,1.0,0.036558,0.027455
13,11932022,150212,2019-06-27,0.77,0.147,1.0,0.036558,0.02815
14,11932021,150212,2019-06-26,0.76,0.145,1.0,0.036558,0.027784
15,11916652,150212,2019-06-25,0.746,0.143,1.0,0.036558,0.027272
16,11910086,150212,2019-06-24,0.762,0.146,1.0,0.036558,0.027857
17,11898537,150212,2019-06-21,0.762,0.146,1.0,0.036558,0.027857
18,11889728,150212,2019-06-20,0.743,0.142,1.0,0.036558,0.027163
19,11882007,150212,2019-06-19,0.721,0.138,1.0,0.036558,0.026358
20,11874236,150212,2019-06-18,0.705,0.135,1.0,0.036558,0.025773
21,11864847,150212,2019-06-17,0.709,0.136,1.0,0.036558,0.02592
22,11856289,150212,2019-06-14,0.707,0.135,1.0,0.036558,0.025847
23,11846661,150212,2019-06-13,0.736,0.141,1.0,0.036558,0.026907
24,11840427,150212,2019-06-12,0.74,0.141,1.0,0.036558,0.027053
25,11828995,150212,2019-06-11,0.752,0.144,1.0,0.036558,0.027492
26,11822112,150212,2019-06-10,0.708,0.135,1.0,0.036558,0.025883
27,11812024,150212,2019-06-06,0.67,0.128,1.0,0.036558,0.024494
28,11805135,150212,2019-06-05,0.695,0.133,1.0,0.036558,0.025408
29,11795099,150212,2019-06-04,0.687,0.131,1.0,0.036558,0.025115
30,11787668,150212,2019-06-03,0.709,0.136,1.0,0.036558,0.02592
31,11778039,150212,2019-05-31,0.737,0.141,1.0,0.036558,0.026943
32,11770008,150212,2019-05-30,0.743,0.142,1.0,0.036558,0.027163
33,11761742,150212,2019-05-29,0.742,0.142,1.0,0.036558,0.027126
34,11754662,150212,2019-05-28,0.748,0.143,1.0,0.036558,0.027345
35,11745315,150212,2019-05-27,0.744,0.142,1.0,0.036558,0.027199
36,11736249,150212,2019-05-24,0.708,0.135,1.0,0.036558,0.025883
37,11728134,150212,2019-05-23,0.71,0.136,1.0,0.036558,0.025956
38,11720390,150212,2019-05-22,0.749,0.143,1.0,0.036558,0.027382
39,11712089,150212,2019-05-21,0.767,0.147,1.0,0.036558,0.02804
