,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12054501,002387,2019-07-15,1.0974,1.1654,1.0,1.060975,1.164314
1,12042366,002387,2019-07-12,1.0913,1.1593,1.0,1.060975,1.157842
2,12033817,002387,2019-07-11,1.0869,1.1549,1.0,1.060975,1.153174
3,12023694,002387,2019-07-10,1.0833,1.1513,1.0,1.060975,1.149354
4,12004440,002387,2019-07-09,1.08,1.148,1.0,1.060975,1.145853
5,11999473,002387,2019-07-08,1.0891,1.1571,1.0,1.060975,1.155508
6,11988286,002387,2019-07-05,1.1082,1.1762,1.0,1.060975,1.175772
7,11971065,002387,2019-07-04,1.1025,1.1705,1.0,1.060975,1.169725
8,11971064,002387,2019-07-03,1.1048,1.1728,1.0,1.060975,1.172165
9,11983382,002387,2019-07-02,1.1142,1.1822,1.0,1.060975,1.182138
10,11942433,002387,2019-06-30,1.0936,1.1616,1.0,1.060975,1.160282
11,11942432,002387,2019-06-28,1.0937,1.1617,1.0,1.060975,1.160388
12,11925772,002387,2019-06-27,1.0959,1.1639,1.0,1.060975,1.162723
13,11925771,002387,2019-06-26,1.0796,1.1476,1.0,1.060975,1.145429
14,11914124,002387,2019-06-25,1.0784,1.1464,1.0,1.060975,1.144155
15,11906549,002387,2019-06-24,1.0914,1.1594,1.0,1.060975,1.157948
16,11895396,002387,2019-06-21,1.0867,1.1547,1.0,1.060975,1.152962
17,11887032,002387,2019-06-20,1.0947,1.1627,1.0,1.060975,1.161449
18,11879199,002387,2019-06-19,1.0716,1.1396,1.0,1.060975,1.136941
19,11870655,002387,2019-06-18,1.0462,1.1142,1.0,1.060975,1.109992
20,11862256,002387,2019-06-17,1.0361,1.1041,1.0,1.060975,1.099276
21,11853251,002387,2019-06-14,1.0366,1.1046,1.0,1.060975,1.099807
22,11843928,002387,2019-06-13,1.0474,1.1154,1.0,1.060975,1.111265
23,11835986,002387,2019-06-12,1.0438,1.1118,1.0,1.060975,1.107446
24,11825428,002387,2019-06-11,1.0586,1.1266,1.0,1.060975,1.123148
25,11819435,002387,2019-06-10,1.0411,1.1091,1.0,1.060975,1.104581
26,11808989,002387,2019-06-06,1.0165,1.0845,1.0,1.060975,1.078481
27,11801650,002387,2019-06-05,1.0173,1.0853,1.0,1.060975,1.07933
28,11792465,002387,2019-06-04,1.0134,1.0814,1.0,1.060975,1.075192
29,11785015,002387,2019-06-03,1.0258,1.0938,1.0,1.060975,1.088348
30,11774110,002387,2019-05-31,1.0294,1.0974,1.0,1.060975,1.092168
