,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12057662,161612,2019-07-15,0.812,0.822,1.0,1.012484,0.822137
1,12046059,161612,2019-07-12,0.804,0.814,1.0,1.012484,0.814037
2,12038030,161612,2019-07-11,0.799,0.809,1.0,1.012484,0.808975
3,12026649,161612,2019-07-10,0.799,0.809,1.0,1.012484,0.808975
4,12010019,161612,2019-07-09,0.802,0.812,1.0,1.012484,0.812012
5,12010018,161612,2019-07-08,0.801,0.811,1.0,1.012484,0.811
6,11990828,161612,2019-07-05,0.822,0.832,1.0,1.012484,0.832262
7,11977839,161612,2019-07-04,0.815,0.825,1.0,1.012484,0.825174
8,11977838,161612,2019-07-03,0.819,0.829,1.0,1.012484,0.829224
9,11965366,161612,2019-07-02,0.829,0.839,1.0,1.012484,0.839349
10,11959504,161612,2019-07-01,0.829,0.839,1.0,1.012484,0.839349
11,11949972,161612,2019-06-30,0.799,0.809,1.0,1.012484,0.808975
12,11949971,161612,2019-06-28,0.799,0.809,1.0,1.012484,0.808975
13,11932714,161612,2019-06-27,0.804,0.814,1.0,1.012484,0.814037
14,11932713,161612,2019-06-26,0.794,0.804,1.0,1.012484,0.803912
15,11916976,161612,2019-06-25,0.793,0.803,1.0,1.012484,0.8029
16,11910447,161612,2019-06-24,0.801,0.811,1.0,1.012484,0.811
17,11898876,161612,2019-06-21,0.801,0.811,1.0,1.012484,0.811
18,11890085,161612,2019-06-20,0.794,0.804,1.0,1.012484,0.803912
19,11882342,161612,2019-06-19,0.776,0.786,1.0,1.012484,0.785688
20,11874601,161612,2019-06-18,0.766,0.776,1.0,1.012484,0.775563
21,11865173,161612,2019-06-17,0.763,0.773,1.0,1.012484,0.772525
22,11856634,161612,2019-06-14,0.767,0.777,1.0,1.012484,0.776575
23,11846996,161612,2019-06-13,0.778,0.788,1.0,1.012484,0.787713
24,11840849,161612,2019-06-12,0.778,0.788,1.0,1.012484,0.787713
25,11829380,161612,2019-06-11,0.785,0.795,1.0,1.012484,0.7948
26,11822445,161612,2019-06-10,0.758,0.768,1.0,1.012484,0.767463
27,11812361,161612,2019-06-06,0.748,0.758,1.0,1.012484,0.757338
28,11805495,161612,2019-06-05,0.76,0.77,1.0,1.012484,0.769488
29,11795434,161612,2019-06-04,0.76,0.77,1.0,1.012484,0.769488
30,11788003,161612,2019-06-03,0.769,0.779,1.0,1.012484,0.7786
31,11778430,161612,2019-05-31,0.774,0.784,1.0,1.012484,0.783663
32,11770343,161612,2019-05-30,0.775,0.785,1.0,1.012484,0.784675
33,11762123,161612,2019-05-29,0.779,0.789,1.0,1.012484,0.788725
34,11754997,161612,2019-05-28,0.781,0.791,1.0,1.012484,0.79075
35,11745688,161612,2019-05-27,0.777,0.787,1.0,1.012484,0.7867
36,11736653,161612,2019-05-24,0.76,0.77,1.0,1.012484,0.769488
37,11728537,161612,2019-05-23,0.762,0.772,1.0,1.012484,0.771513
38,11720792,161612,2019-05-22,0.781,0.791,1.0,1.012484,0.79075
39,11712433,161612,2019-05-21,0.784,0.794,1.0,1.012484,0.793787
40,11704699,161612,2019-05-20,0.77,0.78,1.0,1.012484,0.779613
41,11695448,161612,2019-05-17,0.777,0.787,1.0,1.012484,0.7867
42,11687690,161612,2019-05-16,0.802,0.812,1.0,1.012484,0.812012
43,11679905,161612,2019-05-15,0.799,0.809,1.0,1.012484,0.808975
44,11672220,161612,2019-05-14,0.78,0.79,1.0,1.012484,0.789738
45,11663244,161612,2019-05-13,0.786,0.796,1.0,1.012484,0.795812
46,11653815,161612,2019-05-10,0.797,0.807,1.0,1.012484,0.80695
47,11646975,161612,2019-05-09,0.767,0.777,1.0,1.012484,0.776575
48,11637379,161612,2019-05-08,0.777,0.787,1.0,1.012484,0.7867
49,11637378,161612,2019-05-07,0.784,0.794,1.0,1.012484,0.793787
50,11622321,161612,2019-05-06,0.772,0.782,1.0,1.012484,0.781638
51,11608891,161612,2019-04-30,0.831,0.841,1.0,1.012484,0.841374
52,11601291,161612,2019-04-29,0.827,0.837,1.0,1.012484,0.837324
53,11591489,161612,2019-04-26,0.839,0.849,1.0,1.012484,0.849474
54,11581391,161612,2019-04-25,0.849,0.859,1.0,1.012484,0.859599
55,11573977,161612,2019-04-24,0.875,0.885,1.0,1.012484,0.885923
56,11568439,161612,2019-04-23,0.866,0.876,1.0,1.012484,0.876811
57,11560772,161612,2019-04-22,0.874,0.884,1.0,1.012484,0.884911
58,11552089,161612,2019-04-19,0.889,0.899,1.0,1.012484,0.900098
59,11543897,161612,2019-04-18,0.878,0.888,1.0,1.012484,0.888961
