,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12058389,502055,2019-07-15,0.741,1.1029,1.0,0.2391,0.177173
1,12046793,502055,2019-07-12,0.707,1.0689,1.0,0.2391,0.169044
2,12038850,502055,2019-07-11,0.701,1.0629,1.0,0.2391,0.167609
3,12027314,502055,2019-07-10,0.702,1.0639,1.0,0.2391,0.167848
4,12011197,502055,2019-07-09,0.706,1.0679,1.0,0.2391,0.168805
5,12011196,502055,2019-07-08,0.694,1.0559,1.0,0.2391,0.165935
6,11991322,502055,2019-07-05,0.736,1.0979,1.0,0.2391,0.175978
7,11979214,502055,2019-07-04,0.738,1.0999,1.0,0.2391,0.176456
8,11986737,502055,2019-07-03,0.737,1.0989,1.0,0.2391,0.176217
9,11965964,502055,2019-07-02,0.769,1.1309,1.0,0.2391,0.183868
10,11960505,502055,2019-07-01,0.785,1.1469,1.0,0.2391,0.187694
11,11951214,502055,2019-06-30,0.747,1.1089,1.0,0.2391,0.178608
12,11951213,502055,2019-06-28,0.749,1.1109,1.0,0.2391,0.179086
13,11934130,502055,2019-06-27,0.753,1.1149,1.0,0.2391,0.180042
14,11921653,502055,2019-06-26,0.73,1.0919,1.0,0.2391,0.174543
15,11911191,502055,2019-06-25,0.766,1.1279,1.0,0.2391,0.183151
16,11904270,502055,2019-06-24,0.764,1.1259,1.0,0.2391,0.182672
17,11899571,502055,2019-06-21,0.768,1.1299,1.0,0.2391,0.183629
18,11893519,502055,2019-06-20,0.742,,1.0,0.2391,0.177412
19,11883027,502055,2019-06-19,0.646,,1.0,0.2391,0.154459
20,11875391,502055,2019-06-18,0.615,,1.0,0.2391,0.147046
21,11865836,502055,2019-06-17,0.617,,1.0,0.2391,0.147525
22,11857329,502055,2019-06-14,0.607,,1.0,0.2391,0.145134
23,11847691,502055,2019-06-13,0.637,,1.0,0.2391,0.152307
24,11841775,502055,2019-06-12,0.627,,1.0,0.2391,0.149916
25,11841774,502055,2019-06-11,0.648,,1.0,0.2391,0.154937
26,11823138,502055,2019-06-10,0.57,,1.0,0.2391,0.136287
27,11813054,502055,2019-06-06,0.586,,1.0,0.2391,0.140113
28,11806277,502055,2019-06-05,0.602,,1.0,0.2391,0.143938
29,11796118,502055,2019-06-04,0.591,,1.0,0.2391,0.141308
30,11788684,502055,2019-06-03,0.595,,1.0,0.2391,0.142264
