,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12060899,150288,2019-07-15,0.806,0.029,1.0,0.170567,0.137477
1,12050907,150288,2019-07-12,0.802,0.029,1.0,0.170567,0.136795
2,12037731,150288,2019-07-11,0.8,0.029,1.0,0.170567,0.136454
3,12030299,150288,2019-07-10,0.803,0.029,1.0,0.170567,0.136965
4,12020917,150288,2019-07-09,0.821,0.03,1.0,0.170567,0.140036
5,12009580,150288,2019-07-08,0.821,0.03,1.0,0.170567,0.140036
6,11997270,150288,2019-07-05,0.87,0.032,1.0,0.170567,0.148393
7,11986099,150288,2019-07-04,0.868,0.032,1.0,0.170567,0.148052
8,11986098,150288,2019-07-03,0.87,0.032,1.0,0.170567,0.148393
9,11965147,150288,2019-07-02,0.886,0.032,1.0,0.170567,0.151122
10,11959158,150288,2019-07-01,0.889,0.032,1.0,0.170567,0.151634
11,11959157,150288,2019-06-30,0.855,0.031,1.0,0.170567,0.145835
12,11949479,150288,2019-06-28,0.856,0.031,1.0,0.170567,0.146005
13,11932150,150288,2019-06-27,0.875,0.032,1.0,0.170567,0.149246
14,11921301,150288,2019-06-26,0.87,0.032,1.0,0.170567,0.148393
15,11921300,150288,2019-06-25,0.878,0.032,1.0,0.170567,0.149758
16,11910154,150288,2019-06-24,0.903,0.033,1.0,0.170567,0.154022
17,11901683,150288,2019-06-21,0.873,0.032,1.0,0.170567,0.148905
18,11893318,150288,2019-06-20,0.856,0.031,1.0,0.170567,0.146005
19,11885442,150288,2019-06-19,0.836,0.03,1.0,0.170567,0.142594
20,11874302,150288,2019-06-18,0.824,0.03,1.0,0.170567,0.140547
21,11868590,150288,2019-06-17,0.831,0.03,1.0,0.170567,0.141741
22,11859219,150288,2019-06-14,0.83,0.03,1.0,0.170567,0.141571
23,11851032,150288,2019-06-13,0.852,0.031,1.0,0.170567,0.145323
24,11840511,150288,2019-06-12,0.854,0.031,1.0,0.170567,0.145664
25,11840510,150288,2019-06-11,0.869,0.032,1.0,0.170567,0.148223
26,11829071,150288,2019-06-10,0.815,0.03,1.0,0.170567,0.139012
27,11816376,150288,2019-06-06,0.814,0.03,1.0,0.170567,0.138842
28,11805201,150288,2019-06-05,0.837,0.03,1.0,0.170567,0.142765
29,11799541,150288,2019-06-04,0.832,0.03,1.0,0.170567,0.141912
