,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,8455419,001586,2018-07-16,0.9879,0.9879,1.0,1.0,0.9879
1,8433713,001586,2018-07-13,0.995,0.995,1.0,1.0,0.995
2,8406693,001586,2018-07-12,0.9918,0.9918,1.0,1.0,0.9918
3,8385310,001586,2018-07-11,0.9723,0.9723,1.0,1.0,0.9723
4,8379613,001586,2018-07-10,0.9884,0.9884,1.0,1.0,0.9884
5,8348423,001586,2018-07-09,0.9882,0.9882,1.0,1.0,0.9882
6,8334718,001586,2018-07-06,0.9622,0.9622,1.0,1.0,0.9622
7,8310046,001586,2018-07-05,0.9532,0.9532,1.0,1.0,0.9532
8,8296059,001586,2018-07-04,0.9527,0.9527,1.0,1.0,0.9527
9,8263767,001586,2018-07-03,0.9629,0.9629,1.0,1.0,0.9629
10,8250870,001586,2018-07-02,0.964,0.964,1.0,1.0,0.964
11,8241868,001586,2018-06-30,0.9964,0.9964,1.0,1.0,0.9964
12,8236306,001586,2018-06-29,0.9966,0.9966,1.0,1.0,0.9966
13,8212071,001586,2018-06-28,0.9732,0.9732,1.0,1.0,0.9732
14,8204339,001586,2018-06-27,0.9841,0.9841,1.0,1.0,0.9841
15,8187252,001586,2018-06-26,1.0064,1.0064,1.0,1.0,1.0064
16,8087760,001586,2018-06-25,1.0174,1.0174,1.0,1.0,1.0174
17,8060175,001586,2018-06-22,1.0331,1.0331,1.0,1.0,1.0331
18,8032260,001586,2018-06-21,1.0319,1.0319,1.0,1.0,1.0319
19,8025404,001586,2018-06-20,1.0405,1.0405,1.0,1.0,1.0405
20,8005137,001586,2018-06-19,1.0386,1.0386,1.0,1.0,1.0386
21,7964161,001586,2018-06-15,1.0676,1.0676,1.0,1.0,1.0676
22,7920828,001586,2018-06-14,1.0675,1.0675,1.0,1.0,1.0675
23,7908956,001586,2018-06-13,1.0703,1.0703,1.0,1.0,1.0703
24,7873425,001586,2018-06-12,1.0774,1.0774,1.0,1.0,1.0774
25,7848293,001586,2018-06-11,1.0643,1.0643,1.0,1.0,1.0643
26,7848292,001586,2018-06-08,1.0614,1.0614,1.0,1.0,1.0614
27,7804281,001586,2018-06-07,1.074,1.074,1.0,1.0,1.074
28,7802337,001586,2018-06-06,1.0725,1.0725,1.0,1.0,1.0725
29,7771280,001586,2018-06-05,1.0754,1.0754,1.0,1.0,1.0754
30,7763046,001586,2018-06-04,1.0677,1.0677,1.0,1.0,1.0677
31,7732340,001586,2018-06-01,1.0515,1.0515,1.0,1.0,1.0515
32,7701720,001586,2018-05-31,1.0579,1.0579,1.0,1.0,1.0579
33,7689877,001586,2018-05-30,1.0348,1.0348,1.0,1.0,1.0348
34,7658408,001586,2018-05-29,1.0541,1.0541,1.0,1.0,1.0541
35,7638466,001586,2018-05-28,1.0613,1.0613,1.0,1.0,1.0613
36,7620191,001586,2018-05-25,1.0554,1.0554,1.0,1.0,1.0554
37,7587818,001586,2018-05-24,1.0552,1.0552,1.0,1.0,1.0552
38,7572277,001586,2018-05-23,1.0628,1.0628,1.0,1.0,1.0628
39,7552957,001586,2018-05-22,1.0774,1.0774,1.0,1.0,1.0774
40,7533293,001586,2018-05-21,1.0833,1.0833,1.0,1.0,1.0833
41,7515068,001586,2018-05-18,1.081,1.081,1.0,1.0,1.081
42,7490279,001586,2018-05-17,1.0683,1.0683,1.0,1.0,1.0683
