,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12060359,005761,2019-07-15,1.0793,1.0793,1.0,1.0,1.0793
1,12050291,005761,2019-07-12,1.0745,1.0745,1.0,1.0,1.0745
2,12036056,005761,2019-07-11,1.0666,1.0666,1.0,1.0,1.0666
3,12029610,005761,2019-07-10,1.0661,1.0661,1.0,1.0,1.0661
4,12019596,005761,2019-07-09,1.0676,1.0676,1.0,1.0,1.0676
5,12007308,005761,2019-07-08,1.0692,1.0692,1.0,1.0,1.0692
6,11996758,005761,2019-07-05,1.0928,1.0928,1.0,1.0,1.0928
7,11984912,005761,2019-07-04,1.087,1.087,1.0,1.0,1.087
8,11974826,005761,2019-07-03,1.0928,1.0928,1.0,1.0,1.0928
9,11963909,005761,2019-07-02,1.1035,1.1035,1.0,1.0,1.1035
10,11957229,005761,2019-07-01,1.1023,1.1023,1.0,1.0,1.1023
11,11946510,005761,2019-06-30,1.0745,1.0745,1.0,1.0,1.0745
12,11946509,005761,2019-06-28,1.0745,1.0745,1.0,1.0,1.0745
13,11929549,005761,2019-06-27,1.0764,1.0764,1.0,1.0,1.0764
14,11920391,005761,2019-06-26,1.0648,1.0648,1.0,1.0,1.0648
15,11920390,005761,2019-06-25,1.066,1.066,1.0,1.0,1.066
16,11908653,005761,2019-06-24,1.0766,1.0766,1.0,1.0,1.0766
17,11901206,005761,2019-06-21,1.0744,1.0744,1.0,1.0,1.0744
18,11892818,005761,2019-06-20,1.0722,1.0722,1.0,1.0,1.0722
19,11885025,005761,2019-06-19,1.0439,1.0439,1.0,1.0,1.0439
20,11872794,005761,2019-06-18,1.0306,1.0306,1.0,1.0,1.0306
21,11868082,005761,2019-06-17,1.0276,1.0276,1.0,1.0,1.0276
22,11858741,005761,2019-06-14,1.0278,1.0278,1.0,1.0,1.0278
23,11850539,005761,2019-06-13,1.0343,1.0343,1.0,1.0,1.0343
24,11838573,005761,2019-06-12,1.0353,1.0353,1.0,1.0,1.0353
25,11838572,005761,2019-06-11,1.0416,1.0416,1.0,1.0,1.0416
26,11827535,005761,2019-06-10,1.0129,1.0129,1.0,1.0,1.0129
27,11815925,005761,2019-06-06,1.0016,1.0016,1.0,1.0,1.0016
28,11803743,005761,2019-06-05,1.0103,1.0103,1.0,1.0,1.0103
29,11799098,005761,2019-06-04,1.0105,1.0105,1.0,1.0,1.0105
30,11790394,005761,2019-06-03,1.0192,1.0192,1.0,1.0,1.0192
31,11781625,005761,2019-05-31,1.0186,1.0186,1.0,1.0,1.0186
32,11776458,005761,2019-05-30,1.0215,1.0215,1.0,1.0,1.0215
33,11765139,005761,2019-05-29,1.026,1.026,1.0,1.0,1.026
34,11760321,005761,2019-05-28,1.0286,1.0286,1.0,1.0,1.0286
35,11748778,005761,2019-05-27,1.0178,1.0178,1.0,1.0,1.0178
36,11740036,005761,2019-05-24,1.0062,1.0062,1.0,1.0,1.0062
37,11734742,005761,2019-05-23,1.0031,1.0031,1.0,1.0,1.0031
38,11726747,005761,2019-05-22,1.0187,1.0187,1.0,1.0,1.0187
39,11719029,005761,2019-05-21,1.0241,1.0241,1.0,1.0,1.0241
40,11706782,005761,2019-05-20,1.012,1.012,1.0,1.0,1.012
41,11698758,005761,2019-05-17,1.0198,1.0198,1.0,1.0,1.0198
42,11693596,005761,2019-05-16,1.0435,1.0435,1.0,1.0,1.0435
43,11682645,005761,2019-05-15,1.0393,1.0393,1.0,1.0,1.0393
44,11674856,005761,2019-05-14,1.0182,1.0182,1.0,1.0,1.0182
45,11666280,005761,2019-05-13,1.0243,1.0243,1.0,1.0,1.0243
46,11657763,005761,2019-05-10,1.0393,1.0393,1.0,1.0,1.0393
47,11648651,005761,2019-05-09,1.0067,1.0067,1.0,1.0,1.0067
48,11636493,005761,2019-05-08,1.0241,1.0241,1.0,1.0,1.0241
49,11633398,005761,2019-05-07,1.038,1.038,1.0,1.0,1.038
50,11628038,005761,2019-05-06,1.0296,1.0296,1.0,1.0,1.0296
51,11616324,005761,2019-04-30,1.088,1.088,1.0,1.0,1.088
52,11607046,005761,2019-04-29,1.0833,1.0833,1.0,1.0,1.0833
53,11595327,005761,2019-04-26,1.0799,1.0799,1.0,1.0,1.0799
54,11589661,005761,2019-04-25,1.0946,1.0946,1.0,1.0,1.0946
55,11577666,005761,2019-04-24,1.1165,1.1165,1.0,1.0,1.1165
56,11566489,005761,2019-04-23,1.1135,1.1135,1.0,1.0,1.1135
57,11566488,005761,2019-04-22,1.1153,1.1153,1.0,1.0,1.1153
58,11555128,005761,2019-04-19,1.1386,1.1386,1.0,1.0,1.1386
59,11546701,005761,2019-04-18,1.1285,1.1285,1.0,1.0,1.1285
60,11539102,005761,2019-04-17,1.1333,1.1333,1.0,1.0,1.1333
