,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12057864,167706,2019-07-15,0.9138,0.9138,1.0,1.0,0.9138
1,12046263,167706,2019-07-12,0.9076,0.9076,1.0,1.0,0.9076
2,12038280,167706,2019-07-11,0.9062,0.9062,1.0,1.0,0.9062
3,12026822,167706,2019-07-10,0.9049,0.9049,1.0,1.0,0.9049
4,12010360,167706,2019-07-09,0.9122,0.9122,1.0,1.0,0.9122
5,12010359,167706,2019-07-08,0.9085,0.9085,1.0,1.0,0.9085
6,11990958,167706,2019-07-05,0.9305,0.9305,1.0,1.0,0.9305
7,11978258,167706,2019-07-04,0.9271,0.9271,1.0,1.0,0.9271
8,11978257,167706,2019-07-03,0.93,0.93,1.0,1.0,0.93
9,11986430,167706,2019-07-02,0.9346,0.9346,1.0,1.0,0.9346
10,11959833,167706,2019-07-01,0.9335,0.9335,1.0,1.0,0.9335
11,11950341,167706,2019-06-30,0.9101,0.9101,1.0,1.0,0.9101
12,11938177,167706,2019-06-28,0.9102,0.9102,1.0,1.0,0.9102
13,11933161,167706,2019-06-27,0.9173,0.9173,1.0,1.0,0.9173
14,11933160,167706,2019-06-26,0.9068,0.9068,1.0,1.0,0.9068
15,11910691,167706,2019-06-25,0.9067,0.9067,1.0,1.0,0.9067
16,11904198,167706,2019-06-24,0.9131,0.9131,1.0,1.0,0.9131
17,11899078,167706,2019-06-21,0.9121,0.9121,1.0,1.0,0.9121
18,11890276,167706,2019-06-20,0.8983,0.8983,1.0,1.0,0.8983
19,11882542,167706,2019-06-19,0.8809,0.8809,1.0,1.0,0.8809
20,11874849,167706,2019-06-18,0.8701,0.8701,1.0,1.0,0.8701
21,11865364,167706,2019-06-17,0.8697,0.8697,1.0,1.0,0.8697
22,11856836,167706,2019-06-14,0.8725,0.8725,1.0,1.0,0.8725
23,11847195,167706,2019-06-13,0.8852,0.8852,1.0,1.0,0.8852
24,11841146,167706,2019-06-12,0.8851,0.8851,1.0,1.0,0.8851
25,11829629,167706,2019-06-11,0.8898,0.8898,1.0,1.0,0.8898
26,11822643,167706,2019-06-10,0.8596,0.8596,1.0,1.0,0.8596
27,11812563,167706,2019-06-06,0.8512,0.8512,1.0,1.0,0.8512
28,11805742,167706,2019-06-05,0.8679,0.8679,1.0,1.0,0.8679
29,11795631,167706,2019-06-04,0.8675,0.8675,1.0,1.0,0.8675
30,11788199,167706,2019-06-03,0.8744,0.8744,1.0,1.0,0.8744
31,11778685,167706,2019-05-31,0.8842,0.8842,1.0,1.0,0.8842
32,11770542,167706,2019-05-30,0.8849,0.8849,1.0,1.0,0.8849
33,11762366,167706,2019-05-29,0.891,0.891,1.0,1.0,0.891
34,11755193,167706,2019-05-28,0.8909,0.8909,1.0,1.0,0.8909
35,11745909,167706,2019-05-27,0.8903,0.8903,1.0,1.0,0.8903
36,11736906,167706,2019-05-24,0.8708,0.8708,1.0,1.0,0.8708
37,11728786,167706,2019-05-23,0.8744,0.8744,1.0,1.0,0.8744
38,11721040,167706,2019-05-22,0.8947,0.8947,1.0,1.0,0.8947
39,11712631,167706,2019-05-21,0.898,0.898,1.0,1.0,0.898
40,11704889,167706,2019-05-20,0.8829,0.8829,1.0,1.0,0.8829
41,11695691,167706,2019-05-17,0.8905,0.8905,1.0,1.0,0.8905
42,11687886,167706,2019-05-16,0.9191,0.9191,1.0,1.0,0.9191
43,11680093,167706,2019-05-15,0.9136,0.9136,1.0,1.0,0.9136
44,11672418,167706,2019-05-14,0.8949,0.8949,1.0,1.0,0.8949
45,11663460,167706,2019-05-13,0.9006,0.9006,1.0,1.0,0.9006
46,11654007,167706,2019-05-10,0.9085,0.9085,1.0,1.0,0.9085
47,11637974,167706,2019-05-09,0.8766,0.8766,1.0,1.0,0.8766
48,11637973,167706,2019-05-08,0.8865,0.8865,1.0,1.0,0.8865
49,11637972,167706,2019-05-07,0.8949,0.8949,1.0,1.0,0.8949
50,11622516,167706,2019-05-06,0.8863,0.8863,1.0,1.0,0.8863
51,11609143,167706,2019-04-30,0.9501,0.9501,1.0,1.0,0.9501
52,11601518,167706,2019-04-29,0.9436,0.9436,1.0,1.0,0.9436
