,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,2676930,159917,2015-08-26,1.868,1.868,1.0,1.0,1.868
1,2676929,159917,2015-08-25,1.873,1.873,1.0,1.0,1.873
2,2676928,159917,2015-08-24,1.881,1.881,1.0,1.0,1.881
3,2676927,159917,2015-08-21,1.892,1.892,1.0,1.0,1.892
4,2676926,159917,2015-08-20,1.898,1.898,1.0,1.0,1.898
5,2676925,159917,2015-08-19,1.905,1.905,1.0,1.0,1.905
6,2676924,159917,2015-08-18,1.89,1.89,1.0,1.0,1.89
7,2676923,159917,2015-08-17,1.934,1.934,1.0,1.0,1.934
8,2676922,159917,2015-08-14,1.93,1.93,1.0,1.0,1.93
9,2676921,159917,2015-08-13,1.933,1.933,1.0,1.0,1.933
10,2676920,159917,2015-08-12,1.922,1.922,1.0,1.0,1.922
11,2676919,159917,2015-08-11,1.937,1.937,1.0,1.0,1.937
12,2676918,159917,2015-08-10,1.942,1.942,1.0,1.0,1.942
13,2676917,159917,2015-08-07,1.9,1.9,1.0,1.0,1.9
14,2676916,159917,2015-08-06,1.873,1.873,1.0,1.0,1.873
15,2676915,159917,2015-08-05,1.884,1.884,1.0,1.0,1.884
16,2676914,159917,2015-08-04,1.904,1.904,1.0,1.0,1.904
17,2676913,159917,2015-08-03,1.845,1.845,1.0,1.0,1.845
18,2676912,159917,2015-07-31,1.858,1.858,1.0,1.0,1.858
19,2676911,159917,2015-07-30,1.847,1.847,1.0,1.0,1.847
20,2676910,159917,2015-07-29,1.904,1.904,1.0,1.0,1.904
21,2676909,159917,2015-07-28,1.844,1.844,1.0,1.0,1.844
22,2676908,159917,2015-07-27,1.867,1.867,1.0,1.0,1.867
23,2676907,159917,2015-07-24,2.003,2.003,1.0,1.0,2.003
24,2676906,159917,2015-07-23,2.044,2.044,1.0,1.0,2.044
25,2676905,159917,2015-07-22,2.004,2.004,1.0,1.0,2.004
26,2676904,159917,2015-07-21,1.991,1.991,1.0,1.0,1.991
27,2676903,159917,2015-07-20,1.979,1.979,1.0,1.0,1.979
28,2676902,159917,2015-07-17,1.959,1.959,1.0,1.0,1.959
29,2676901,159917,2015-07-16,1.857,1.857,1.0,1.0,1.857
30,2676900,159917,2015-07-15,1.817,1.817,1.0,1.0,1.817
31,2676899,159917,2015-07-14,1.881,1.881,1.0,1.0,1.881
32,2676898,159917,2015-07-13,1.867,1.867,1.0,1.0,1.867
33,2676897,159917,2015-07-10,1.834,1.834,1.0,1.0,1.834
34,2676896,159917,2015-07-09,1.792,1.792,1.0,1.0,1.792
35,2676895,159917,2015-07-08,1.729,1.729,1.0,1.0,1.729
36,2676894,159917,2015-07-07,1.745,1.745,1.0,1.0,1.745
37,2676893,159917,2015-07-06,1.802,1.802,1.0,1.0,1.802
38,2676892,159917,2015-07-03,1.811,1.811,1.0,1.0,1.811
39,2676891,159917,2015-07-02,1.859,1.859,1.0,1.0,1.859
40,2676890,159917,2015-07-01,1.93,1.93,1.0,1.0,1.93
41,2676889,159917,2015-06-30,1.983,1.983,1.0,1.0,1.983
42,2676888,159917,2015-06-29,1.88,1.88,1.0,1.0,1.88
43,2676887,159917,2015-06-26,2.01,2.01,1.0,1.0,2.01
44,2676886,159917,2015-06-25,2.185,2.185,1.0,1.0,2.185
45,2676885,159917,2015-06-24,2.272,2.272,1.0,1.0,2.272
46,2676884,159917,2015-06-23,2.244,2.244,1.0,1.0,2.244
47,2676883,159917,2015-06-19,2.211,2.211,1.0,1.0,2.211
48,2676882,159917,2015-06-18,2.353,2.353,1.0,1.0,2.353
49,2676881,159917,2015-06-17,2.457,2.457,1.0,1.0,2.457
50,2676880,159917,2015-06-16,2.419,2.419,1.0,1.0,2.419
51,2676879,159917,2015-06-15,2.526,2.526,1.0,1.0,2.526
52,2676878,159917,2015-06-12,2.592,2.592,1.0,1.0,2.592
53,2676877,159917,2015-06-11,2.563,2.563,1.0,1.0,2.563
54,2676876,159917,2015-06-10,2.519,2.519,1.0,1.0,2.519
55,2676875,159917,2015-06-09,2.453,2.453,1.0,1.0,2.453
56,2676874,159917,2015-06-08,2.467,2.467,1.0,1.0,2.467
57,2676873,159917,2015-06-05,2.527,2.527,1.0,1.0,2.527
58,2676872,159917,2015-06-04,2.514,2.514,1.0,1.0,2.514
59,2676871,159917,2015-06-03,2.538,2.538,1.0,1.0,2.538
60,2676870,159917,2015-06-02,2.541,2.541,1.0,1.0,2.541
61,2676869,159917,2015-06-01,2.449,2.449,1.0,1.0,2.449
62,2676868,159917,2015-05-29,2.335,2.335,1.0,1.0,2.335
63,2676867,159917,2015-05-28,2.297,2.297,1.0,1.0,2.297
64,2676866,159917,2015-05-27,2.45,2.45,1.0,1.0,2.45
65,2676865,159917,2015-05-26,2.442,2.442,1.0,1.0,2.442
66,2676864,159917,2015-05-25,2.36,2.36,1.0,1.0,2.36
67,2676863,159917,2015-05-22,2.319,2.319,1.0,1.0,2.319
68,2676862,159917,2015-05-21,2.313,2.313,1.0,1.0,2.313
69,2676861,159917,2015-05-20,2.22,2.22,1.0,1.0,2.22
70,2676860,159917,2015-05-19,2.171,2.171,1.0,1.0,2.171
71,2676859,159917,2015-05-18,2.118,2.118,1.0,1.0,2.118
72,2676858,159917,2015-05-15,2.051,2.051,1.0,1.0,2.051
73,2676857,159917,2015-05-14,2.053,2.053,1.0,1.0,2.053
74,2676856,159917,2015-05-13,2.052,2.052,1.0,1.0,2.052
75,2676855,159917,2015-05-12,2.024,2.024,1.0,1.0,2.024
76,2676854,159917,2015-05-11,1.983,1.983,1.0,1.0,1.983
77,2676853,159917,2015-05-08,1.89,1.89,1.0,1.0,1.89
78,2676852,159917,2015-05-07,1.802,1.802,1.0,1.0,1.802
79,2676851,159917,2015-05-06,1.817,1.817,1.0,1.0,1.817
80,2676850,159917,2015-05-05,1.813,1.813,1.0,1.0,1.813
81,2676849,159917,2015-05-04,1.865,1.865,1.0,1.0,1.865
82,2676848,159917,2015-04-30,1.863,1.863,1.0,1.0,1.863
83,2676847,159917,2015-04-29,1.856,1.856,1.0,1.0,1.856
84,2676846,159917,2015-04-28,1.823,1.823,1.0,1.0,1.823
85,2676845,159917,2015-04-27,1.88,1.88,1.0,1.0,1.88
86,2676844,159917,2015-04-24,1.873,1.873,1.0,1.0,1.873
87,2676843,159917,2015-04-23,1.871,1.871,1.0,1.0,1.871
88,2676842,159917,2015-04-22,1.857,1.857,1.0,1.0,1.857
89,2676841,159917,2015-04-21,1.813,1.813,1.0,1.0,1.813
90,2676840,159917,2015-04-20,1.75,1.75,1.0,1.0,1.75
91,2676839,159917,2015-04-17,1.797,1.797,1.0,1.0,1.797
92,2676838,159917,2015-04-16,1.796,1.796,1.0,1.0,1.796
93,2676837,159917,2015-04-15,1.774,1.774,1.0,1.0,1.774
94,2676836,159917,2015-04-14,1.844,1.844,1.0,1.0,1.844
95,2676835,159917,2015-04-13,1.856,1.856,1.0,1.0,1.856
96,2676834,159917,2015-04-10,1.822,1.822,1.0,1.0,1.822
