,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12055646,004698,2019-07-15,0.891,0.891,1.0,1.0,0.891
1,12043730,004698,2019-07-12,0.877,0.877,1.0,1.0,0.877
2,12035316,004698,2019-07-11,0.877,0.877,1.0,1.0,0.877
3,12024839,004698,2019-07-10,0.877,0.877,1.0,1.0,0.877
4,12006344,004698,2019-07-09,0.88,0.88,1.0,1.0,0.88
5,12006343,004698,2019-07-08,0.879,0.879,1.0,1.0,0.879
6,11989370,004698,2019-07-05,0.902,0.902,1.0,1.0,0.902
7,11973616,004698,2019-07-04,0.902,0.902,1.0,1.0,0.902
8,11973615,004698,2019-07-03,0.896,0.896,1.0,1.0,0.896
9,11984384,004698,2019-07-02,0.897,0.897,1.0,1.0,0.897
10,11956311,004698,2019-07-01,0.891,0.891,1.0,1.0,0.891
11,11945196,004698,2019-06-30,0.871,0.871,1.0,1.0,0.871
12,11945195,004698,2019-06-28,0.871,0.871,1.0,1.0,0.871
13,11928303,004698,2019-06-27,0.876,0.876,1.0,1.0,0.876
14,11928302,004698,2019-06-26,0.868,0.868,1.0,1.0,0.868
15,11915233,004698,2019-06-25,0.863,0.863,1.0,1.0,0.863
16,11907932,004698,2019-06-24,0.864,0.864,1.0,1.0,0.864
17,11896692,004698,2019-06-21,0.866,0.866,1.0,1.0,0.866
18,11888154,004698,2019-06-20,0.851,0.851,1.0,1.0,0.851
19,11880382,004698,2019-06-19,0.836,0.836,1.0,1.0,0.836
20,11872058,004698,2019-06-18,0.823,0.823,1.0,1.0,0.823
21,11863332,004698,2019-06-17,0.825,0.825,1.0,1.0,0.825
22,11854479,004698,2019-06-14,0.83,0.83,1.0,1.0,0.83
23,11845070,004698,2019-06-13,0.837,0.837,1.0,1.0,0.837
24,11837643,004698,2019-06-12,0.84,0.84,1.0,1.0,0.84
25,11826808,004698,2019-06-11,0.847,0.847,1.0,1.0,0.847
26,11820568,004698,2019-06-10,0.821,0.821,1.0,1.0,0.821
27,11810234,004698,2019-06-06,0.816,0.816,1.0,1.0,0.816
28,11803031,004698,2019-06-05,0.832,0.832,1.0,1.0,0.832
29,11793583,004698,2019-06-04,0.836,0.836,1.0,1.0,0.836
30,11786125,004698,2019-06-03,0.853,0.853,1.0,1.0,0.853
31,11775635,004698,2019-05-31,0.865,0.865,1.0,1.0,0.865
32,11768454,004698,2019-05-30,0.861,0.861,1.0,1.0,0.861
33,11759595,004698,2019-05-29,0.87,0.87,1.0,1.0,0.87
34,11753170,004698,2019-05-28,0.869,0.869,1.0,1.0,0.869
35,11743671,004698,2019-05-27,0.869,0.869,1.0,1.0,0.869
36,11733935,004698,2019-05-24,0.841,0.841,1.0,1.0,0.841
37,11726027,004698,2019-05-23,0.858,0.858,1.0,1.0,0.858
38,11718308,004698,2019-05-22,0.874,0.874,1.0,1.0,0.874
39,11710604,004698,2019-05-21,0.874,0.874,1.0,1.0,0.874
40,11702944,004698,2019-05-20,0.862,0.862,1.0,1.0,0.862
41,11692763,004698,2019-05-17,0.856,0.856,1.0,1.0,0.856
42,11685880,004698,2019-05-16,0.88,0.88,1.0,1.0,0.88
43,11678068,004698,2019-05-15,0.875,0.875,1.0,1.0,0.875
44,11670414,004698,2019-05-14,0.861,0.861,1.0,1.0,0.861
45,11661308,004698,2019-05-13,0.867,0.867,1.0,1.0,0.867
46,11651848,004698,2019-05-10,0.877,0.877,1.0,1.0,0.877
47,11645595,004698,2019-05-09,0.847,0.847,1.0,1.0,0.847
48,11632654,004698,2019-05-08,0.85,0.85,1.0,1.0,0.85
49,11627322,004698,2019-05-07,0.844,0.844,1.0,1.0,0.844
50,11620463,004698,2019-05-06,0.838,0.838,1.0,1.0,0.838
51,11606219,004698,2019-04-30,0.889,0.889,1.0,1.0,0.889
52,11599278,004698,2019-04-29,0.886,0.886,1.0,1.0,0.886
53,11588853,004698,2019-04-26,0.903,0.903,1.0,1.0,0.903
54,11585110,004698,2019-04-25,0.904,0.904,1.0,1.0,0.904
55,11573250,004698,2019-04-24,0.935,0.935,1.0,1.0,0.935
56,11565583,004698,2019-04-23,0.927,0.927,1.0,1.0,0.927
57,11559062,004698,2019-04-22,0.947,0.947,1.0,1.0,0.947
58,11550151,004698,2019-04-19,0.959,0.959,1.0,1.0,0.959
59,11542181,004698,2019-04-18,0.959,0.959,1.0,1.0,0.959
60,11534534,004698,2019-04-17,0.955,0.955,1.0,1.0,0.955
61,11526982,004698,2019-04-16,0.954,0.954,1.0,1.0,0.954
62,11521563,004698,2019-04-15,0.939,0.939,1.0,1.0,0.939
63,11508226,004698,2019-04-12,0.944,0.944,1.0,1.0,0.944
64,11500864,004698,2019-04-11,0.946,0.946,1.0,1.0,0.946
65,11491526,004698,2019-04-10,0.967,0.967,1.0,1.0,0.967
66,11482627,004698,2019-04-09,0.97,0.97,1.0,1.0,0.97
67,11474852,004698,2019-04-08,0.977,0.977,1.0,1.0,0.977
68,11462837,004698,2019-04-04,0.994,0.994,1.0,1.0,0.994
69,11453306,004698,2019-04-03,0.991,0.991,1.0,1.0,0.991
70,11445956,004698,2019-04-02,0.984,0.984,1.0,1.0,0.984
71,11441359,004698,2019-04-01,0.973,0.973,1.0,1.0,0.973
72,11432308,004698,2019-03-29,0.937,0.937,1.0,1.0,0.937
73,11425796,004698,2019-03-28,0.901,0.901,1.0,1.0,0.901
74,11415485,004698,2019-03-27,0.913,0.913,1.0,1.0,0.913
75,11407897,004698,2019-03-26,0.919,0.919,1.0,1.0,0.919
76,11399196,004698,2019-03-25,0.955,0.955,1.0,1.0,0.955
77,11390614,004698,2019-03-22,0.924,0.924,1.0,1.0,0.924
78,11382142,004698,2019-03-21,0.923,0.923,1.0,1.0,0.923
79,11374539,004698,2019-03-20,0.916,0.916,1.0,1.0,0.916
80,11367009,004698,2019-03-19,0.925,0.925,1.0,1.0,0.925
81,11358542,004698,2019-03-18,0.919,0.919,1.0,1.0,0.919
82,11350118,004698,2019-03-15,0.903,0.903,1.0,1.0,0.903
83,11341443,004698,2019-03-14,0.9,0.9,1.0,1.0,0.9
84,11333755,004698,2019-03-13,0.918,0.918,1.0,1.0,0.918
85,11326374,004698,2019-03-12,0.945,0.945,1.0,1.0,0.945
86,11315423,004698,2019-03-11,0.921,0.921,1.0,1.0,0.921
87,11309756,004698,2019-03-08,0.892,0.892,1.0,1.0,0.892
88,11301474,004698,2019-03-07,0.914,0.914,1.0,1.0,0.914
89,11293722,004698,2019-03-06,0.921,0.921,1.0,1.0,0.921
90,11286282,004698,2019-03-05,0.917,0.917,1.0,1.0,0.917
91,11277878,004698,2019-03-04,0.904,0.904,1.0,1.0,0.904
92,11269535,004698,2019-03-01,0.895,0.895,1.0,1.0,0.895
93,11261791,004698,2019-02-28,0.89,0.89,1.0,1.0,0.89
94,11254153,004698,2019-02-27,0.893,0.893,1.0,1.0,0.893
95,11247003,004698,2019-02-26,0.894,0.894,1.0,1.0,0.894
96,11238621,004698,2019-02-25,0.909,0.909,1.0,1.0,0.909
97,11230431,004698,2019-02-22,0.864,0.864,1.0,1.0,0.864
98,11222688,004698,2019-02-21,0.85,0.85,1.0,1.0,0.85
99,11215457,004698,2019-02-20,0.855,0.855,1.0,1.0,0.855
100,11208648,004698,2019-02-19,0.856,0.856,1.0,1.0,0.856
101,11200146,004698,2019-02-18,0.855,0.855,1.0,1.0,0.855
102,11192522,004698,2019-02-15,0.826,0.826,1.0,1.0,0.826
103,11183824,004698,2019-02-14,0.837,0.837,1.0,1.0,0.837
104,11176681,004698,2019-02-13,0.833,0.833,1.0,1.0,0.833
105,11169761,004698,2019-02-12,0.82,0.82,1.0,1.0,0.82
106,11160840,004698,2019-02-11,0.813,0.813,1.0,1.0,0.813
107,11150379,004698,2019-02-01,0.796,0.796,1.0,1.0,0.796
108,11141468,004698,2019-01-31,0.778,0.778,1.0,1.0,0.778
109,11131220,004698,2019-01-30,0.785,0.785,1.0,1.0,0.785
110,11123367,004698,2019-01-29,0.781,0.781,1.0,1.0,0.781
111,11115316,004698,2019-01-28,0.792,0.792,1.0,1.0,0.792
112,11106040,004698,2019-01-25,0.796,0.796,1.0,1.0,0.796
113,11098249,004698,2019-01-24,0.8,0.8,1.0,1.0,0.8
114,11091501,004698,2019-01-23,0.793,0.793,1.0,1.0,0.793
115,11084212,004698,2019-01-22,0.791,0.791,1.0,1.0,0.791
116,11076176,004698,2019-01-21,0.804,0.804,1.0,1.0,0.804
117,11067522,004698,2019-01-18,0.798,0.798,1.0,1.0,0.798
118,11060458,004698,2019-01-17,0.791,0.791,1.0,1.0,0.791
119,11052894,004698,2019-01-16,0.801,0.801,1.0,1.0,0.801
120,11045401,004698,2019-01-15,0.804,0.804,1.0,1.0,0.804
121,11036960,004698,2019-01-14,0.797,0.797,1.0,1.0,0.797
122,11028376,004698,2019-01-11,0.803,0.803,1.0,1.0,0.803
123,11018544,004698,2019-01-10,0.794,0.794,1.0,1.0,0.794
124,11007178,004698,2019-01-09,0.792,0.792,1.0,1.0,0.792
125,11003171,004698,2019-01-08,0.8,0.8,1.0,1.0,0.8
126,10994432,004698,2019-01-07,0.805,0.805,1.0,1.0,0.805
127,10985337,004698,2019-01-04,0.776,0.776,1.0,1.0,0.776
128,10976518,004698,2019-01-03,0.762,0.762,1.0,1.0,0.762
129,10967199,004698,2019-01-02,0.749,0.749,1.0,1.0,0.749
130,10960833,004698,2018-12-31,0.747,0.747,1.0,1.0,0.747
131,10944931,004698,2018-12-28,0.747,0.747,1.0,1.0,0.747
132,10936963,004698,2018-12-27,0.747,0.747,1.0,1.0,0.747
133,10929380,004698,2018-12-26,0.753,0.753,1.0,1.0,0.753
134,10922170,004698,2018-12-25,0.762,0.762,1.0,1.0,0.762
135,10915157,004698,2018-12-24,0.763,0.763,1.0,1.0,0.763
136,10904234,004698,2018-12-21,0.755,0.755,1.0,1.0,0.755
137,10897638,004698,2018-12-20,0.767,0.767,1.0,1.0,0.767
138,10889563,004698,2018-12-19,0.772,0.772,1.0,1.0,0.772
139,10881886,004698,2018-12-18,0.786,0.786,1.0,1.0,0.786
140,10874062,004698,2018-12-17,0.795,0.795,1.0,1.0,0.795
141,10865677,004698,2018-12-14,0.796,0.796,1.0,1.0,0.796
142,10859138,004698,2018-12-13,0.807,0.807,1.0,1.0,0.807
