,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,12058548,519117,2019-07-15,1.389,1.389,1.0,1.0,1.389
1,12046955,519117,2019-07-12,1.377,1.377,1.0,1.0,1.377
2,12039044,519117,2019-07-11,1.368,1.368,1.0,1.0,1.368
3,12027464,519117,2019-07-10,1.366,1.366,1.0,1.0,1.366
4,12011452,519117,2019-07-09,1.375,1.375,1.0,1.0,1.375
5,12000699,519117,2019-07-08,1.372,1.372,1.0,1.0,1.372
6,11991401,519117,2019-07-05,1.413,1.413,1.0,1.0,1.413
7,11979533,519117,2019-07-04,1.408,1.408,1.0,1.0,1.408
8,11979532,519117,2019-07-03,1.41,1.41,1.0,1.0,1.41
9,11966062,519117,2019-07-02,1.42,1.42,1.0,1.0,1.42
10,11960736,519117,2019-07-01,1.419,1.419,1.0,1.0,1.419
11,11951531,519117,2019-06-30,1.384,1.384,1.0,1.0,1.384
12,11951530,519117,2019-06-28,1.385,1.385,1.0,1.0,1.385
13,11934474,519117,2019-06-27,1.395,1.395,1.0,1.0,1.395
14,11934473,519117,2019-06-26,1.384,1.384,1.0,1.0,1.384
15,11911380,519117,2019-06-25,1.387,1.387,1.0,1.0,1.387
16,11904284,519117,2019-06-24,1.398,1.398,1.0,1.0,1.398
17,11899733,519117,2019-06-21,1.396,1.396,1.0,1.0,1.396
18,11890926,519117,2019-06-20,1.384,1.384,1.0,1.0,1.384
19,11883183,519117,2019-06-19,1.358,1.358,1.0,1.0,1.358
20,11875599,519117,2019-06-18,1.343,1.343,1.0,1.0,1.343
21,11865981,519117,2019-06-17,1.344,1.344,1.0,1.0,1.344
22,11857490,519117,2019-06-14,1.344,1.344,1.0,1.0,1.344
23,11847846,519117,2019-06-13,1.365,1.365,1.0,1.0,1.365
24,11841990,519117,2019-06-12,1.362,1.362,1.0,1.0,1.362
25,11830378,519117,2019-06-11,1.373,1.373,1.0,1.0,1.373
26,11823290,519117,2019-06-10,1.328,1.328,1.0,1.0,1.328
27,11813212,519117,2019-06-06,1.317,1.317,1.0,1.0,1.317
